quantidade_de_alunos,nome_do_curso
75,Lógica de programação
68,Java para Web
19,C# para Web
29,Ruby on Rails
19,Cursos de Python
1,PHP com MySql
34,.NET para web
26,Novas integrações com Java
44,TDD com Java
42,Código limpo com C#
38,Preparatório para certificação Java
3,Hardware básico
49,Persistência com .NET
66,Desenvolvendo jogos
60,Análise de dados
56,Estatística básica
55,Internet das coisas
54,Programação funcional
32,Boas práticas em Java
23,Orientação objetos com Java
